,t,Upper_CI,Confidence_level,median,Lower_CI
0,0.0,11.057047843151407,80%,10.437154114540348,9.977681415482376
1,0.0,11.475545953489766,90%,10.437154114540348,9.529166550164268
2,0.0,11.88034754244764,99%,10.437154114540348,9.418761346858616
3,0.101010101010101,11.253538336977938,80%,10.636716750517849,10.178873199362924
4,0.101010101010101,11.66763560795152,90%,10.636716750517849,9.742081021479612
5,0.101010101010101,12.07094131406924,99%,10.636716750517849,9.644342498301606
6,0.202020202020202,11.454525650781097,80%,10.840124236332327,10.384564393982904
7,0.202020202020202,11.859510238064104,90%,10.840124236332327,9.94800906579339
8,0.202020202020202,12.25286714743866,99%,10.840124236332327,9.874975030690855
9,0.303030303030303,11.657080266521374,80%,11.047961039418755,10.593350265325077
10,0.303030303030303,12.055486110315147,90%,11.047961039418755,10.15832337792423
11,0.303030303030303,12.437755291605775,99%,11.047961039418755,10.100411037500898
12,0.404040404040404,11.863402648346174,80%,11.258743758035964,10.80822473746365
13,0.404040404040404,12.256223513288717,90%,11.258743758035964,10.375641209231782
14,0.404040404040404,12.63744511054922,99%,11.258743758035964,10.310743268217838
15,0.5050505050505051,12.072756935724255,80%,11.474847604760424,11.02668701928092
16,0.5050505050505051,12.46051017243426,90%,11.474847604760424,10.594681400643651
17,0.5050505050505051,12.840341007775203,99%,11.474847604760424,10.52998122618935
18,0.6060606060606061,12.288078224056326,80%,11.695285008367744,11.249475130285491
19,0.6060606060606061,12.66990285181724,90%,11.695285008367744,10.822428871859811
20,0.6060606060606061,13.045789763376211,99%,11.695285008367744,10.767599544883636
21,0.7070707070707071,12.505782575687464,80%,11.918274703605451,11.475960705812517
22,0.7070707070707071,12.88292864264957,90%,11.918274703605451,11.05001237221719
23,0.7070707070707071,13.25605686038306,99%,11.918274703605451,10.995532080297846
24,0.8080808080808081,12.7275277900466,80%,12.145639711229574,11.706450164909956
25,0.8080808080808081,13.09826535032039,90%,12.145639711229574,11.292417668159986
26,0.8080808080808081,13.470654311603704,99%,12.145639711229574,11.22405613822467
27,0.9090909090909092,12.95314925323942,80%,12.37828040915063,11.942795709680349
28,0.9090909090909092,13.315949384802533,90%,12.37828040915063,11.525623992326622
29,0.9090909090909092,13.688828961073988,99%,12.37828040915063,11.45732969332509
30,1.0101010101010102,13.18180454455076,80%,12.614993739493972,12.18357445567992
31,1.0101010101010102,13.538908274764076,90%,12.614993739493972,11.76349623437975
32,1.0101010101010102,13.90295828536938,99%,12.614993739493972,11.69545145610305
33,1.1111111111111112,13.4145119786351,80%,12.857082929955643,12.428702134982114
34,1.1111111111111112,13.76965780255168,90%,12.857082929955643,12.006587805997588
35,1.1111111111111112,14.119182416505788,99%,12.857082929955643,11.938522188598444
36,1.2121212121212122,13.65219164914371,80%,13.10461608000109,12.678757446014306
37,1.2121212121212122,14.003367937901128,90%,13.10461608000109,12.25453410062011
38,1.2121212121212122,14.341526903187807,99%,13.10461608000109,12.186644747024957
39,1.3131313131313131,13.893106004148096,80%,13.356835873514155,12.935151905325982
40,1.3131313131313131,14.23563174610402,90%,13.356835873514155,12.507605462267032
41,1.3131313131313131,14.57315694667642,99%,13.356835873514155,12.439924125293995
42,1.414141414141414,14.140886841254687,80%,13.613219498992716,13.193903662534208
43,1.414141414141414,14.47515656508507,90%,13.613219498992716,12.765898783908094
44,1.414141414141414,14.807033877137386,99%,13.613219498992716,12.697843168633796
45,1.5151515151515151,14.392177841575208,80%,13.8731821467609,13.457738336337092
46,1.5151515151515151,14.719334361718778,90%,13.8731821467609,13.02952609535285
47,1.5151515151515151,15.033181770135496,99%,13.8731821467609,12.96216938636609
48,1.616161616161616,14.64811259013829,80%,14.138573541499095,13.725528557852774
49,1.616161616161616,14.96383007627994,90%,14.138573541499095,13.300314253560158
50,1.616161616161616,15.2682235981604,99%,14.138573541499095,13.23177941698896
51,1.7171717171717171,14.908162357369322,80%,14.410100902331305,13.999503349037044
52,1.7171717171717171,15.214385300778448,90%,14.410100902331305,13.577979551188683
53,1.7171717171717171,15.508093338367797,99%,14.410100902331305,13.506775876966126
54,1.818181818181818,15.177290934970816,80%,14.687064838904138,14.27887690998124
55,1.818181818181818,15.475729869882487,90%,14.687064838904138,13.85523030666575
56,1.818181818181818,15.755225868799638,99%,14.687064838904138,13.787488087523592
57,1.9191919191919191,15.448816414085936,80%,14.968195352699238,14.562746024451611
